id,county,units,value,income,costs,taxes
29025,"Caldwell County, Missouri",1479,119600,71793,1070,947
29027,"Callaway County, Missouri",6747,139700,67055,1061,1067
29029,"Camden County, Missouri",7225,178300,61857,1114,1120
29031,"Cape Girardeau County, Missouri",11754,155100,72731,1092,1118
29033,"Carroll County, Missouri",1240,95500,66400,932,873
29035,"Carter County, Missouri",970,120600,53413,912,799
29037,"Cass County, Missouri",19461,165900,82419,1379,1811
29039,"Cedar County, Missouri",1854,88800,52115,891,700
29041,"Chariton County, Missouri",853,85100,65048,894,804
29043,"Christian County, Missouri",15031,150200,70150,1153,1301
29045,"Clark County, Missouri",998,96400,59063,947,934
29047,"Clay County, Missouri",43787,160500,85856,1377,2151
29049,"Clinton County, Missouri",3901,142200,77337,1191,1428
29051,"Cole County, Missouri",12582,150500,74388,1153,1329
29053,"Cooper County, Missouri",2757,126200,69496,982,1051
29055,"Crawford County, Missouri",3811,123600,61768,960,837
29057,"Dade County, Missouri",1185,77200,47298,815,651
29059,"Dallas County, Missouri",2134,110500,49145,927,620
29061,"Daviess County, Missouri",1201,114300,62782,1016,957
29063,"DeKalb County, Missouri",1286,121100,73030,1084,1188
29065,"Dent County, Missouri",2197,119300,54571,889,785
29067,"Douglas County, Missouri",1702,112100,45676,864,510
29069,"Dunklin County, Missouri",3625,77800,53740,825,619
29071,"Franklin County, Missouri",18493,158600,70236,1195,1420
29073,"Gasconade County, Missouri",2356,155700,67951,1029,1082
29075,"Gentry County, Missouri",845,102600,60967,965,1209
